make,module_or_system,years,models_notes,source_file,source_url
BMW,CAS1/CAS2/CAS3/CAS3+,~2003-2010,"3/5/6/7/X-series CAS generations; add/all-keys-lost per CGDI BMW manual.",cgdi_bmw_user_manual.pdf,https://gskeyae.cloud/wp-content/uploads/2023/11/CGDI-BMW-User-Manual.pdf
BMW,CAS4/CAS4+,~2009-2016,"3/5/7-series CAS4; smart key support per CGDI BMW manual.",cgdi_bmw_user_manual.pdf,https://gskeyae.cloud/wp-content/uploads/2023/11/CGDI-BMW-User-Manual.pdf
BMW,FEM/BDC,~2013-2018,"F/G-chassis FEM/BDC add-key per CGDI FEM/BDC guide.",cgdi_bmw_fem_bdc_add_key.pdf,https://www.cgdi.eu/upload/pro/25030417411566367719.pdf
GM,ID46 transponder (Circle+ / B111/B119),2005-2021,"GM high-security Z keyway transponders; Ilco/Strattec references.",ilco_auto_truck_2025.pdf,https://a-us.storyblok.com/f/1015476/x/494d39adee/2025-auto-truck-key-blank-reference-guide.pdf
Ford,PATS 4D63/ID49 etc.,2000-2025,"Ford/Lincoln/Mazda/Mercury PATS keys; multiple generations noted in Ilco guide and OBDSTAR IMMO updates (2021+).",ilco_auto_truck_2025.pdf,https://a-us.storyblok.com/f/1015476/x/494d39adee/2025-auto-truck-key-blank-reference-guide.pdf
Chrysler/Fiat,SKIM/WCM/Fobik/GQ4-53T,~2008-2023,"Fobik proximity keys; Strattec/Ilco guides detail transponder/frequency.",strattec_transponder_2008.pdf,https://aftermarket.strattec.com/application/files/9515/5181/4458/2008_Strattec_Transponder_Guide.pdf
Nissan,ID46/Smart (KR55WK...),~2007-2014,"Altima/Maxima smart keys; transponder noted in Strattec guide.",strattec_transponder_2008.pdf,https://aftermarket.strattec.com/application/files/9515/5181/4458/2008_Strattec_Transponder_Guide.pdf
Honda/Acura,ID46/47/HOxx,~2003-2020,"Honda/Acura transponder and smart systems; Ilco guide keyways HO01/HO03.",ilco_auto_truck_2025.pdf,https://a-us.storyblok.com/f/1015476/x/494d39adee/2025-auto-truck-key-blank-reference-guide.pdf
Toyota/Lexus,4C/4D/8A/H-chip/Smart,~2004-2020,"Toyota/Lexus H-chip, 8A, smart keys; Ilco guide lists transponder and keyway.",ilco_auto_truck_2025.pdf,https://a-us.storyblok.com/f/1015476/x/494d39adee/2025-auto-truck-key-blank-reference-guide.pdf
Audi/VW,BCM2 Immo5,~2007-2018,"Audi A4/A5/A6/A7/A8/Q5 BCM2 systems; typically handled via VAG tools (reference placeholder).",,https://www.obdstar.com/News_2269.html
ORA (Great Wall),KBCM/ESCL/TBOX/VCU,2022-2025,"OBDSTAR Nov 2025 IMMO update added proximity support for ORA Funky Cat modules.",,https://www.obdstar.com/News_2269.html
Ford USA/CAN 2021+,PATS (blade/prox) late-gen,2021-2025,"OBDSTAR Nov 2025 IMMO update: blade key programming for EcoSport/Edge/Escape/Focus/F250/F350/Explorer/Mustang.",,https://www.obdstar.com/News_2269.html
Universal,Reference PDFs,"","Ilco 2025 Auto/Truck guide (54MB) and Strattec 2008 transponder guide downloaded locally for detailed lookup.",ilco_auto_truck_2025.pdf;strattec_transponder_2008.pdf,"https://a-us.storyblok.com/f/1015476/x/494d39adee/2025-auto-truck-key-blank-reference-guide.pdf; https://aftermarket.strattec.com/application/files/9515/5181/4458/2008_Strattec_Transponder_Guide.pdf"

