col1,col2,col3,col4,col5,col6
Series,Origin,Year,FuelType,Function,
2937,ImmobiliserSystem,Thesis,02-09,Key Programming,
2938,ImmobiliserSystem,Ypsilon,03-06,Key Programming,
2939,ImmobiliserSystem,Phedra,05-,Key Programming,
Series,Origin,Year,FuelType,Function,
2930,Immobiliser System,159,Other,KeyProgramming,
2931,Immobiliser System,Spider,Other,KeyProgramming,
2932,Immobiliser System,Brera,Other,KeyProgramming,
2933,Immobiliser System,147,Other,KeyProgramming,
2934,Immobiliser System,GT,Other,KeyProgramming,
2935,Immobiliser System,Giulietta,Other,KeyProgramming,
2936,Immobiliser System,Mito,Other,KeyProgramming,
,KNOW BEANS,,,,
Series,,Origin,Year,FuelType,Function
2884,,ZD2,Other,Other,Other
,OPEL,,,,
,IMMO,,,,
Series,Origin,Year,FuelType,Function,
ReadPIN code,Other,Other,Other,Type 1,
ImmobilizerSystem,Selectfrom type,Type 1,Other,SmartKey,
ImmobilizerSystem,Selectfrom vehicle,Insignia,Other,SmartKey,
ImmobilizerSystem,Selectfrom type,Type 1,Other,Immobilization,
ImmobilizerSystem,Selectfrom vehicle,Insignia,Other,Immobilization,
ImmobilizerSystem,Selectfrom type,Type 2,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Agila,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Astra-G,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Calibra,OtherIMMO2,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Combo,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Corsa-B,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Corsa-C,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Meriva,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Movano,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Omega-B,Other,IMMO2,
ImmobilizerSystem,Selectfrom vehicle,Sintra,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Tigra-B,Other,IMMO2,
ImmobiliserSystem,Selectfrom vehicle,Vectra-B,Other,IMMO2,
Series,Origin,Year,FuelType,Function,
ImmobilizerSystem,Selectfrom vehicle,Zafira-B,Other,IMMO2,
ImmobiliserSystem,Selectfrom type,Type 3,Other,IMMO3,
Selectfrom vehicle,Astra-H,Other,Type 3,,
ImmobilizerSystem,Selectfrom type,Type 4,Other,IMMO4,
ImmobilizerSystem,Selectfrom vehicle,Agila B,-2009,IMMO4,
ImmobilizerSystem,Selectfrom type,Type 5,Other,IMMO5,
ImmobilizerSystem,Selectfrom vehicle,Agila B,2009-,IMMO5,
RemotecontrolSystem,Astra-H,Other,Other,Remote control,
RemotecontrolSystem,Zafira-B,Other,Other,Remote control,
RemotecontrolSystem,Vectra-C/Signum,Other,Other,Remote control,
RemotecontrolSystem,Corsa-D,Other,Other,Remote control,
Series,Origin,Year,FuelType,Function,
ImmobiliserSystem,Other,Other,Other,Type 1,
Series,Origin,Year,FuelType,Function,
Viaggio,Other,Other,Other,KeyProgramming,
Palio,Other,Other,Other,KeyProgramming,
Siena,Other,Other,Other,KeyProgramming,
Bravo,Other,Other,Other,KeyProgramming,
Perla,Other,Other,Other,KeyProgramming,
Series,Origin,Year,FuelType,Function,
Freemont,Other,Other,Other,SmartKey Programming,
Viaggio,Other,Other,Other,SmartKey Programming,
Series,Origin,Year,FuelType,Function,
ImmobiliserSystem,GT,Other,Other,Type 1,
ImmobiliserSystem,MG3,2013-,Other,Type 1,
ImmobiliserSystem,MG5,2013-,Other,Type 1,
ImmobiliserSystem,MG7,2013-,Other,Type 1,
ImmobiliserSystem,MG6,-2012,Other,Type 2,
RemoteKeySystem,MG7,Other,Other,Remote Key System2,
RemoteKeySystem,MG3,Other,Other,Remote Key System3,
ImmobiliserSystem,MG3,-2012,Other,Type 0,
ImmobiliserSystem,MG5,-2012,Other,Type 0,
ImmobiliserSystem,MG6,2013-,Other,Type 3,
ImmobiliserSystem,GS,SmartKey,Other,Type 8,
ImmobiliserSystem,GS,不SmartKey,Other,Type 9,
Series,Origin,Year,FeulType,Function,
Geely,Vision,Other,Other,Industrialtraffic security system,
Geely,Free Cruiser,Other,Other,Industrialtraffic security system,
Geely,Eagle,Other,Other,Industrialtraffic security system,
Series,Origin,Year,FeulType,Function,
Gleagle,Panda,Other,Other,Industrialtraffic security system,
Gleagle,GX718,Other,Other,Industrialtraffic security system,
Gleagle,GX720,Other,Other,Industrialtraffic security system,
Gleagle,GX7,Other,Other,Industrialtraffic security system,
Gleagle,GC7,Other,Other,Industrialtraffic security system,
Gleagle,GX2,Other,Other,Industrialtraffic security system,
Gleagle,GX9,Other,Other,Industrialtraffic security system,
Emgrand,EC7(EC7RS) Series,Other,Other,Industrialtraffic security system,
Emgrand,EC820,Other,Other,Industrialtraffic security system,
Emgrand,EC825,Other,Other,Industrialtraffic security system,
Emgrand,EX8,Other,Other,Industrialtraffic security system,
Emgrand,FC-2,Other,Other,Industrialtraffic security system,
Emgrand,GS,Other,Other,Industrialtraffic security system,
Emgrand,GL,Other,Other,Industrialtraffic security system,
Mapgl,Other,Other,Other,Industrialtraffic security system,
Engloncar,SC5,Other,Other,Industrialtraffic security system,
Engloncar,SC6,Other,Other,Industrialtraffic security system,
Engloncar,SC7,Other,Other,Industrialtraffic security system,
Engloncar,SX7,Other,Other,Industrialtraffic security system,
Engloncar,LG-1(CROSS),Other,Other,Industrialtraffic security system,
Gleagle,GX718,Other,Other,Lear body controlsystem,
Gleagle,GX7,Other,Other,Lear body controlsystem,
Emgrand,EC820,Other,Other,Lear body controlsystem,
Emgrand,EC825,Other,Other,Lear body controlsystem,
Engloncar,SX7,Other,Other,Lear body controlsystem,
Series,Origin,Year,FeulType,Function,
Gleagle,GX7,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Gleagle,GX9,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Emgrand,EC825,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Emgrand,EV8,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Engloncar,SX7,Other,Other,HaiLa smartkeysystem (15-before 6-digitPIN code),
Gleagle,GX7,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Gleagle,GX9,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,EC825,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,EV8,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,GC9,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,GL,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,GS,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Engloncar,SX7,Other,Other,HaiLa smartkeysystem (15-after 32-digitESK code),
Emgrand,EC7(EC7RS) Series,Other,Other,Continentalsmart keysystem(15-beforefree code),
Emgrand,EV,Other,Other,Continentalsmart keysystem(15-beforefree code),
Emgrand,HEV,Other,Other,Continentalsmart keysystem(15-beforefree code),
Emgrand,EC7(EC7RS) Series,Other,Other,Continentalsmart keysystem(15-after 32-digitESK code),
Emgrand,EV,Other,Other,Continentalsmart keysystem(15-after 32-digitESK code),
Emgrand,HEV,Other,Other,Continentalsmart keysystem(15-after 32-digitESK code),
Emgrand,EC820,Other,Other,Lear body controlsystem(CANBUS),
Emgrand,EC825,Other,Other,Lear body controlsystem(CANBUS),
Emgrand,EC820,Other,Other,UMC body controlsystem (UDS),
Emgrand,EC820,Other,Other,Mitsubishiimmobiliser system,
Emgrand,EC825,Other,Other,Mitsubishiimmobiliser system,
Emgrand,GL,Other,Other,Continentalbody controlsystem,
Series,Origin,Year,FeulType,Function,
Emgrand,GS,Other,Other,Continentalbody controlsystem,
Emgrand,X6,Other,Other,UMC body controlsystem (UDS),
Emgrand,X6,Other,Other,Narnsmartkey system,
