make,model,year_start,year_end,chip_type,chip_family,clonable,clone_tools,if_not_clonable_method,notes
Chevrolet,Silverado,2003,2006,ID48,Megamos Crypto,Yes,"Tango,VVDI,Zed-Full",,Early simplified system
Chevrolet,Silverado,2007,2013,ID46,Philips Crypto 2,Yes,"Tango,VVDI,Zed-Full",,PK3+ system Circle Plus keyway
Chevrolet,Silverado,2014,2018,ID46E,Philips Crypto 2,Partially,"Tango SLK-04,VVDI Super",,High Security requires special sniff
Chevrolet,Silverado,2019,2025,ID47,HITAG3,No,,OBD Programming,PEPS system requires tool (Autel/Pro)
Chevrolet,Equinox,2010,2017,ID46,Philips Crypto 2,Yes,"Tango,VVDI",,Flip key high security
Chevrolet,Equinox,2018,2024,ID47,HITAG3,No,,OBD Programming,Prox system
Chevrolet,Malibu,2004,2012,ID46,Philips Crypto 2,Yes,"Tango,VVDI",,Circle Plus
Chevrolet,Malibu,2013,2015,ID46,Philips Crypto 2,Yes,"Tango,VVDI",,High Security Flip
Chevrolet,Malibu,2016,2024,ID47/4A,HITAG-AES,No,,OBD Programming,Prox system
Ford,F-150,1999,2003,4C,Texas Fixed,Yes,"CN1,TPX1,XT27",,Glass or Carbon chip
Ford,F-150,2004,2010,4D-63-40,Texas Crypto 40,Yes,"CN2,TPX2,XT27",,40-bit system standard
Ford,F-150,2011,2014,4D-63-80bit,Texas Crypto 80,No,,OBD or EEPROM,80-bit chip requires parameters
Ford,F-150,2015,2020,ID49,Hitag Pro,No,,OBD Add Key,Requires 2 working keys for DIY or Tool
Ford,F-150,2021,2025,ID49,Hitag Pro,No,,OBD (Active Alarm),Requires waiting 10m if alarm active
Ford,Focus,2000,2004,4D-63-40,Texas Crypto,Yes,"CN2,XT27",,Standard 40 bit
Ford,Focus,2012,2019,4D-63-80bit,Texas Crypto 80,No,,OBD Programming,80-bit system
Toyota,Camry,2003,2006,4D-67,Texas Crypto 4D,Yes,"CN2,TPX2,XT27",,Dot Key
Toyota,Camry,2007,2010,4D-67,Texas Crypto 4D,Yes,"CN2,TPX2,XT27",,Dot Key
Toyota,Camry,2011,2014,G-Chip,Texas DST-80,Yes,"CN5,XT27,LKP-02",,Stamped G on blade
Toyota,Camry,2015,2017,H-Chip,Texas DST-AES,Yes,"LKP-04,XT27",,Stamped H on blade (Key Ign)
Toyota,Camry,2018,2024,8A-H,Texas DST-AES,No,,OBD Programming,Smart Key H-Chip system
Toyota,Corolla,2005,2010,4D-67,Texas Crypto 4D,Yes,"CN2,TPX2",,Dot Key
Toyota,Corolla,2011,2013,G-Chip,Texas DST-80,Yes,"CN5,XT27",,G-Chip
Toyota,Corolla,2014,2019,H-Chip,Texas DST-AES,Yes,"LKP-04,XT27",,H-Chip
