source_record_id,match_basis,tool,make,model,year_from,year_to,immobilizer_system_specific,functions_supported
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,S40,,9999,Proximity/Smart,Key/Smart programming
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,S60,,9999,Proximity/Smart,Proximity key insert-to-start; Smart one-button start
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,S80,,2009,Proximity/Smart,Proximity insert; Smart one-button start
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,S80,2009,9999,Proximity/Smart,Smart one-button start; Proximity insert
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,XC60,,2009,Proximity/Smart,Proximity insert; Smart one-button start
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,XC60,2009,9999,Proximity/Smart,Smart one-button start; Proximity insert
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,XC90,,9999,Flip key,Key programming
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Volvo,V70,2009,9999,Proximity/Smart,Smart one-button start; Proximity insert
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,Camry,2000,2004,4C,Ordinary key
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,Camry,2005,2009,4D/Smart,Ordinary 4D + Smart + Remote key
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,Camry,2010,2013,4D/8A,Ordinary key 4D-G-H-8A
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,Camry,2013,9999,Remote,Remote key
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,Highlander,,2009,4D,Ordinary key
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,Prado,2010,9999,Smart,Smart key
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,RAV4,2010,2010,Smart,Smart key
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Toyota,Corolla,2010,9999,Remote/4D/8A,Remote key; Ordinary 4D-G-H-8A
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Lexus,ES350,,9999,Smart,Smart key
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,BMW,CAS3/CAS3+/CAS3++,,,CAS3,Add/AKL OBD
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,BMW,CAS4/CAS4+,,,CAS4,Add/AKL via bench/dump
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Hyundai,Elantra,2008,9999,Smart/Remote,Key programming; Smart; Remote
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Hyundai,Sonata,2005,2014,Smart/Remote,Key programming; Smart; Remote
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Kia,Optima,2004,2007,Transponder,Key programming
lonsdor_k518_carlist_v1,extracted_pdf,Lonsdor K518ISE,Kia,Sportage,2008,2013,Transponder/Smart,Key programming; Smart (selected years)
smartpro_update_01_2025,extracted_pdf,SmartPro,Alpine,C4,2018,2024,Prox,PROX
smartpro_update_01_2025,extracted_pdf,SmartPro,Ford,Tourneo Custom,2019,2022,Blade,BLADE
smartpro_update_01_2025,extracted_pdf,SmartPro,Nissan,Townstar,2019,2021,Prox,PROX
smartpro_update_01_2025,extracted_pdf,SmartPro,Opel,Movano,2017,2020,Blade,BLADE
smartpro_update_01_2025,extracted_pdf,SmartPro,Suzuki,Ignis,2017,2024,Prox,PROX
smartpro_update_01_2025,extracted_pdf,SmartPro,Toyota,GT86,2014,2017,Prox,PROX
smartpro_update_01_2025,extracted_pdf,SmartPro,Toyota,RAV4,2006,2017,Blade,BLADE
smartpro_update_01_2025,extracted_pdf,SmartPro,Toyota,Corolla,2018,2024,Prox,PROX
smartpro_update_01_2025,extracted_pdf,SmartPro,Toyota,Hilux,2023,2024,Blade,BLADE
smartpro_update_01_2025,extracted_pdf,SmartPro,Nissan,Versa,2015,2021,Prox,PROX
smartpro_update_01_2025,extracted_pdf,SmartPro,Toyota,86,2011,2021,Prox,PROX
autel_immo_update_2024_ext2025,extracted_pdf,Autel IM,Denzo/BYD,Various,2023,2024,EV Smart,Add/AKL

