video_id,title,category,tool,makes,models,year_start,year_end,source_count,youtube_url
K_PELmyQdqg,ACURA MDX TLX RLX RDX ALL KEYS LOST PUSH START(SMART KEY) TUTORIAL#allkeyslost #keyprogrammer#acura,akl,,Acura|Ram,MDX|TLX|RDX,,,5,https://www.youtube.com/watch?v=K_PELmyQdqg
0d3TBxsfvXg,Acura Smart Key programming ( All Keys Lost),akl,,Acura|Ram,,,,1,https://www.youtube.com/watch?v=0d3TBxsfvXg
2hX4UOQliUg,2010 Acura TL All Keys Lost using Autel KM100,akl,Autel,Acura,,2010,2010,1,https://www.youtube.com/watch?v=2hX4UOQliUg
eIGoTdBL4TQ,Acura TLX All Keys Lost,akl,,Acura|Ram,TLX,,,3,https://www.youtube.com/watch?v=eIGoTdBL4TQ
pHa51ZStkt4,Acura TSX All Keys Lost Programming,akl,,Acura|Ram,,,,1,https://www.youtube.com/watch?v=pHa51ZStkt4
rza-HzOLNdM,ALL KEYS LOST? MDX / RDX Smart Key Programming in Minutes,akl,,Acura|Ram,MDX|RDX,,,2,https://www.youtube.com/watch?v=rza-HzOLNdM
dRW3g_yvNss,Open and Start Acura models with a dead key fob battery: Updated.,battery,,Acura,,,,1,https://www.youtube.com/watch?v=dRW3g_yvNss
ICduGjille0,[EN] How to unlock a gateway and replace rear brake pads | Masters of Motion,bypass,,Acura|Ram,,,,1,https://www.youtube.com/watch?v=ICduGjille0
ird0vN4kTnk,(463) Which NSN14 Lishi to Use 10 Cut vs 8 Cut,lishi,Lishi,Acura,,,,1,https://www.youtube.com/watch?v=ird0vN4kTnk
tDAOvhILSZY,Acura RDX 2017 New Prox Key with Autel 508,other,Autel,Acura,RDX,2017,2017,1,https://www.youtube.com/watch?v=tDAOvhILSZY
f_kxqbhFvPU,2025 Acura MDX Fuse Box Info | Fuses | Location | Diagram | Layout,other,,Acura|Ram,MDX,2025,2025,1,https://www.youtube.com/watch?v=f_kxqbhFvPU
J3YkEexr57Q,IM608 Pro EEPROM Training,other,Autel,Acura,,,,1,https://www.youtube.com/watch?v=J3YkEexr57Q
8tx8Fk4C-UU,2019 Acura RDX Fuse Box Info | Fuses | Location | Diagrams | Layout,other,,Acura|Ram,RDX,2019,2019,1,https://www.youtube.com/watch?v=8tx8Fk4C-UU
kXwcFPHGBzg,Acura RDX Fuse Box Frenzy Solved! (2019-2020): Interior,other,,Acura,RDX,2019,2020,1,https://www.youtube.com/watch?v=kXwcFPHGBzg
gqTCECH8U4Q,2022 Acura MDX IGLA pincode / Compustar T13,pin_code,,Acura|Ram,MDX|GLA,2022,2022,1,https://www.youtube.com/watch?v=gqTCECH8U4Q
C-KY-Ue0I9Y,Acura MDX keyfob replacement and reprogramming DIY,programming,,Acura|Ram,MDX,,,1,https://www.youtube.com/watch?v=C-KY-Ue0I9Y
URik3gmcjq0,AUTEL IM508 vs XTOOL PAD 3 | Best Key Programmer & Diagnostic Tool Comparison,programming,Autel,Acura|Ram,,,,1,https://www.youtube.com/watch?v=URik3gmcjq0
4Xw3vNSyaV4,AUTEL MK808 VS XTOOL PRO PAD 2 MY KEY PROGRAMMERS,programming,Autel,Acura|Ram,,,,1,https://www.youtube.com/watch?v=4Xw3vNSyaV4
CzM9P2bfHSo,Autel Key Programming IM508 Webcast Training,programming,Autel,Acura|Ram,,,,1,https://www.youtube.com/watch?v=CzM9P2bfHSo
dL2wjK8utdE,Acura MDX Key & Remote Fob Programming Tutorial | Step-by-Step Guide,programming,,Acura|Ram,MDX,,,1,https://www.youtube.com/watch?v=dL2wjK8utdE
z2hrAXOWDpU,"""Acura Remote Start Programming with Autel | Quick DIY""",programming,Autel,Acura|Ram,,,,1,https://www.youtube.com/watch?v=z2hrAXOWDpU
n7MgcmlyjUo,Remote Start and Keyfob Tricks in the Acura MDX (and how to set them up),tutorial,,Acura,MDX,,,1,https://www.youtube.com/watch?v=n7MgcmlyjUo
YptSWdPt8Oc,"How to Program Acura Key Fob | MDX, TLX, RLX, ILX, RDX (2014–2020)",tutorial,,Acura|Ram,MDX|TLX|RDX,2014,2020,3,https://www.youtube.com/watch?v=YptSWdPt8Oc
Y5nNRyq5R1A,How to Check Key Fob Frequency & Remote Identification with Autel KM100 (Full Tutorial),tutorial,Autel,Acura,,,,2,https://www.youtube.com/watch?v=Y5nNRyq5R1A
x5xAmBXBO50,How to Check Key Info & Frequency with Autel KM100?,tutorial,Autel,Acura,,,,2,https://www.youtube.com/watch?v=x5xAmBXBO50
odC790GcBYE,#shorts How to check key frequency with Autel KM100?,tutorial,Autel,Acura,,,,1,https://www.youtube.com/watch?v=odC790GcBYE
bXNkq2LLfOI,KM100 Key Tool Overview: The Ultimate Beginner's Guide to Autel's Best Programmer,tutorial,Autel,Acura|Ram,,,,2,https://www.youtube.com/watch?v=bXNkq2LLfOI
ORNEJkg8_Ak,Add a Smart Key to an Acura in MINUTES! | Autel 508 + Autel iKey Step-by-Step Guide,tutorial,Autel,Acura,,,,1,https://www.youtube.com/watch?v=ORNEJkg8_Ak
e0FAk--sBpE,How to Use the Driving Position Memory System,tutorial,,Acura,,,,1,https://www.youtube.com/watch?v=e0FAk--sBpE
wnbX-cKNvYQ,How to Program 2021 2025 GM New System Smart Key with Techline Connect SPS2?,tutorial,,Acura|Ram,,2021,2025,1,https://www.youtube.com/watch?v=wnbX-cKNvYQ
3p7AT6UlBq0,How To Open A 2022-2024 Acura MDX With Dead Battery Or Key- Manually Unlock If Remote Fob Won't Work,tutorial,,Acura|Ram,MDX,2022,2024,1,https://www.youtube.com/watch?v=3p7AT6UlBq0
dD-xRyI_0qg,"Unlock, Open & Start 2017 - 2022 Alfa Romeo Stelvio With A Dead Remote Key Fob Battery",battery,,Alfa Romeo,Stelvio,2017,2022,1,https://www.youtube.com/watch?v=dD-xRyI_0qg
au3k9Rvirks,How To Start Your Alfa Romeo Giulia and Stelvio When Your Key Fob Battery Dies! #shorts,battery,,Alfa Romeo,Stelvio|Giulia,,,1,https://www.youtube.com/watch?v=au3k9Rvirks
vaco8UaFIhY,2022 Alfa Romeo Stelvio - KEY FOB NOT DETECTED - How To Start With Dead Remote Fob Battery,battery,,Alfa Romeo,Stelvio,2022,2022,1,https://www.youtube.com/watch?v=vaco8UaFIhY
cjPr4TU-3wI,Alfa Romeo Stelvio DIY Battery Replacement | Electrical Problems Solved,battery,,Alfa Romeo,Stelvio,,,1,https://www.youtube.com/watch?v=cjPr4TU-3wI
TcnIPZUlxKY,Key Fob Battery Replacement | How To | 2023 Alfa Romeo Stelvio,battery,,Alfa Romeo,Stelvio,2023,2023,1,https://www.youtube.com/watch?v=TcnIPZUlxKY
q_QqYvIawI4,Important! Alfa Romeo Giulia/Stelvio SGW Bypass Plug (2018+),bypass,,Alfa Romeo,Stelvio|Giulia,2018,2018,1,https://www.youtube.com/watch?v=q_QqYvIawI4
xwmxSoOTtTs,Alfa Romeo Stelvio/Giulia SGW Bypass install & maintenance reset,bypass,,Alfa Romeo,Stelvio|Giulia,,,2,https://www.youtube.com/watch?v=xwmxSoOTtTs
