make,model,year_start,year_end,key_type,fcc_status,chip_status,battery_status,blank_status,freq_status
Acura,ILX,2015,2015,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,ILX,2016,2016,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,ILX,2017,2017,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,ILX,2018,2018,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,ILX,2019,2019,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,ILX,2020,2020,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,ILX,2021,2021,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,ILX,2022,2022,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,MDX,2015,2015,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,MDX,2016,2016,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,MDX,2017,2017,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,MDX,2018,2018,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,MDX,2019,2019,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,MDX,2020,2020,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RDX,2015,2015,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RDX,2016,2016,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RDX,2017,2017,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RDX,2018,2018,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RDX,2019,2019,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RDX,2020,2020,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RDX,2021,2021,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RLX,2016,2016,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RLX,2017,2017,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RLX,2018,2018,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RLX,2019,2019,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,RLX,2020,2020,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,TLX,2015,2015,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,TLX,2016,2016,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,TLX,2017,2017,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,TLX,2018,2018,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,TLX,2019,2019,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,TLX,2020,2020,"Smart Key",OK,MISSING,OK,MISSING,OK
Acura,TLX,2021,2021,"Smart Key",OK,MISSING,OK,MISSING,OK
